BROKERREFERENCE,ENTRYNUMBER,IMPORTERNAME,IMPORTERID,LINENUMBER,HTS_NUMBER,HTS_DESCRIPTION,DESCRIPTION,MANUFACTURERNAME,ENTRYDATE,ARRIVALDATE,DATEOFEXPORT,MODEOFTRANSPORT,ENTEREDVALUE,COUNTRYOFORIGIN,ADL1_HTS_NUMBER,ADL2_HTS_NUMBER,ADL3_HTS_NUMBER,ADL4_HTS_NUMBER,ADL5_HTS_NUMBER,ADL6_HTS_NUMBER,ADL7_HTS_NUMBER,ADL1_HTS_DESCRIPTION,ADL2_HTS_DESCRIPTION,ADL3_HTS_DESCRIPTION,ADL4_HTS_DESCRIPTION,ADL5_HTS_DESCRIPTION,ADL6_HTS_DESCRIPTION,ADL7_HTS_DESCRIPTION
2566720,02332136',VEER CORPORATIONS INC,99-106989200,1,99030544,PRDTS OF INDIA  NTE 52,POLYPROPOLENE WOVEN FABRICS LAMINA,VEER PLASTIC PVT LTD,8/20/2026,8/23/2026,7/14/2026,Vessel Container,48888.68,IN,5903903090,,,,,,,FAB OTHER TEXT IMP ETC. W/OTH,,,,,,
2566872,02333647',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030539,PRDT OF MEMBER STATE OF THE EU,ORGANIC VITAL WHEAT GLUTEN FOOD,KROENER-STARKE BIO GMBH,8/20/2026,8/20/2026,7/28/2026,Vessel Container,240092.33,DE,1109009010,,,,,,,WHEAT GLUTEN OTH CERT ORGANIC,,,,,,
105504959,02337119',PORSCHE MOTORSPORT NORTH AMERICA,23-234420600,1,99030590,ARTS ALU STL COP DER ALU  DER,2025 PORSCHE 718 CAYMAN GT4 RS WP0,PORSCHE AG,8/20/2026,8/20/2026,7/28/2026,Vessel Container,215870,DE,99039451,8703240150,,,,,,PASS VEH  LT TRKS NT33 SBDV(M),OT NEW VE;>4 &<=6CYL;CY>3000CC,,,,,
2566532,02329561',WESTERN PLASTICS INC,58-196103400,1,99030576,PRDT OF TAIWAN LESS THAN 10%,"3"" PLASTIC FILM WRAPPING",YANG BEY INDUSTRY,8/21/2026,8/24/2026,7/01/2026,Vessel Container,54850.18,TW,3926909989,,,,,,,OTH.PLSTIC MAT OTH OTH OTH,,,,,,
2566780,02333241',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030539,PRDT OF MEMBER STATE OF THE EU,POTATO STARCH,PRZEDSIEBIORSTWO PRZEMYSLU ZIEMNIACZANEGO PEPEES S.A.,8/21/2026,8/21/2026,7/19/2026,Vessel Container,13284.97,PL,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2566816,02333266',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030539,PRDT OF MEMBER STATE OF THE EU,POTATO STARCH,PRZEDSIEBIORSTWO PRZEMYSLU ZIEMNIACZANEGO PEPEES S.A.,8/21/2026,8/21/2026,7/19/2026,Vessel Container,17555.14,PL,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2566839,02334439',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/22/2026,7/01/2026,Vessel Container,44437.32,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566724,02333837',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/20/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566725,02333845',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/20/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566726,02333902',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/19/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566727,02333910',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/19/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566728,02333969',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/20/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2566729,02333977',CASTLE CHEMICALS LTD,151704-07138,1,99030531,PRDTS OF CHINA  NOTE 52,LIQUID SILANE JH-S69,HUBEI JIANGHAN NEW MATERIALS CO LTD,8/21/2026,8/20/2026,7/18/2026,Vessel Container,55867,CN,2930909231,,,,,,,ORGANO-S AMINOETHANE,,,,,,
2615917,02338281',HAGO AUTOMOTIVE CORP,47-447117700,1,99030590,ARTS ALU STL COP DER ALU  DER,,FEINWERKTECHNIK HAGO GMBH,8/21/2026,8/21/2026,8/05/2026,Vessel Non-container,1122.37,DE,99037411,99039453,8708295190,,,,,MED/HVY PRTS  NT38 (1) ALL CT,PASS VEH  LT TRKS NT33 SBDV(M),BODY PART ACCESS OTHER  OTHER,,,,
2566676,02331211',VEER CORPORATIONS INC,99-106989200,1,99030544,PRDTS OF INDIA  NTE 52,POLYPROPOLENE WOVEN FABRICS LAMINA,VEER PLASTIC PVT LTD,8/22/2026,8/21/2026,7/08/2026,Vessel Container,50537.5,IN,5903903090,,,,,,,FAB OTHER TEXT IMP ETC. W/OTH,,,,,,
2566678,02331237',VEER CORPORATIONS INC,99-106989200,1,99030544,PRDTS OF INDIA  NTE 52,POLYPROPYLENE NON WOVEN FABRICS LA,VEER PLASTIC PVT LTD,8/22/2026,8/21/2026,7/08/2026,Vessel Container,29008.92,IN,5603149090,,,,,,,NONWV:OTHER MAN MADE >150,,,,,,
2566678,02331237',VEER CORPORATIONS INC,99-106989200,2,99030544,PRDTS OF INDIA  NTE 52,POLYPROPOLENE WOVEN FABRICS LAMINA,VEER PLASTIC PVT LTD,8/22/2026,8/21/2026,7/08/2026,Vessel Container,17016.47,IN,5903903090,,,,,,,FAB OTHER TEXT IMP ETC. W/OTH,,,,,,
2567012,02335956',EISENMANN OF SOUTH CAROLINA INC,86-240963300,1,99030539,PRDT OF MEMBER STATE OF THE EU,PAINT APPLICATION UNIT,EISENMANN GMBH,8/22/2026,8/21/2026,8/08/2026,Vessel Container,15313.36,CZ,99038201,8424909080,,,,,,DOES NOT CONTAIN ANY ALU  STL,MECH APP FOR PROJ ETC  PTS,,,,,
2567012,02335956',EISENMANN OF SOUTH CAROLINA INC,86-240963300,2,99030539,PRDT OF MEMBER STATE OF THE EU,PAINT APPLICATION UNIT,EISENMANN GMBH,8/22/2026,8/21/2026,8/08/2026,Vessel Container,358152.15,CZ,99038201,8424909080,,,,,,DOES NOT CONTAIN ANY ALU  STL,MECH APP FOR PROJ ETC  PTS,,,,,
2567012,02335956',EISENMANN OF SOUTH CAROLINA INC,86-240963300,3,99030539,PRDT OF MEMBER STATE OF THE EU,PAINT APPLICATION UNIT,EISENMANN GMBH,8/22/2026,8/21/2026,8/08/2026,Vessel Container,130529.94,CZ,99038201,8424909080,,,,,,DOES NOT CONTAIN ANY ALU  STL,MECH APP FOR PROJ ETC  PTS,,,,,
2567081,02339115',BORGERS USA CORP,65-117296500,1,99030590,ARTS ALU STL COP DER ALU  DER,AUTO PARTS,AUTONEUM CZ S.R.O.,8/22/2026,8/21/2026,8/08/2026,Vessel Container,32994.6,CZ,99039453,99037411,8708295190,,,,,PASS VEH  LT TRKS NT33 SBDV(M),MED/HVY PRTS  NT38 (1) ALL CT,BODY PART ACCESS OTHER  OTHER,,,,
2567065,02338166',EISENMANN OF SOUTH CAROLINA INC,86-240963300,1,99030539,PRDT OF MEMBER STATE OF THE EU,PAINT LINE,EISENMANN GMBH,8/22/2026,8/22/2026,8/07/2026,Vessel Container,596376.2,DE,99038201,8424909080,,,,,,DOES NOT CONTAIN ANY ALU  STL,MECH APP FOR PROJ ETC  PTS,,,,,
2567039,02338497',TUBUS BAUER GMBH,091601-00584,1,99030539,PRDT OF MEMBER STATE OF THE EU,POLYCARBONATE FILTERS,TUBUS BAUER GMBH,8/22/2026,8/22/2026,8/10/2026,Vessel Container,22475.45,DE,3920610000,,,,,,,PLAST FLAT POLYCARBONATE,,,,,,
4539889,02340501',CANTRELL GAINCO GROUP INC,31-151121700,1,99030575,PRDT OF TAIWAN EQ/GR 10%,MEAT ADN POULTRY MACHINE PARTS,O E CO LTD,8/22/2026,8/21/2026,8/21/2026,Air Non-container,53123.79,TW,8438909060,,,,,,,MACH PTS OTH PREP MEAT POULTRY,,,,,,
2567044,02336657',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030539,PRDT OF MEMBER STATE OF THE EU,POTATO STARCH,AKV LANGHOLT AMBA,8/23/2026,8/23/2026,8/04/2026,Vessel Container,79542.36,DK,1108130010,,,,,,,POTATO STARCH  F/HUMAN CON,,,,,,
2566777,02333456',GRASS AMERICA INC,51-066023000,1,99038815,ARTICLE OF CHINA US NTE 20(R),FURNITURE PARTS,GRASS GMBH,8/23/2026,8/24/2026,7/18/2026,Vessel Container,101942.8,CN,99030590,99038209,8302423015,,,,,ARTS ALU STL COP DER ALU  DER,COP  DER ALU & STL  NT16(C)(VI,DRWRSLIDES FR FURN IR/ST/AL/ZN,,,,
2566777,02333456',GRASS AMERICA INC,51-066023000,2,99038815,ARTICLE OF CHINA US NTE 20(R),PLASTIC FURNITURE PARTS,GRASS GMBH,8/23/2026,8/24/2026,7/18/2026,Vessel Container,5360,CN,99030531,3926305000,,,,,,PRDTS OF CHINA  NOTE 52,PLAST FITTINGS OTHER,,,,,
2566976,02335741',ROYAL INGREDIENTS GROUP BV,074601-00962,1,99030539,PRDT OF MEMBER STATE OF THE EU,VITAL WHEAT GLUTEN FOOD,JACKERING MUHLEN UND NAHRMITTELWERKE GMBH,8/23/2026,8/23/2026,8/03/2026,Vessel Container,63298.55,DE,1109009020,,,,,,,WHEAT GLUTEN  OTHER,,,,,,
2566565,02330460',VEER CORPORATIONS INC,99-106989200,1,99030544,PRDTS OF INDIA  NTE 52,POLYPROPOLENE WOVEN FABRICS LAMINA,VEER PLASTIC PVT LTD,8/24/2026,8/24/2026,6/12/2026,Vessel Container,48342.6,IN,5903903090,,,,,,,FAB OTHER TEXT IMP ETC. W/OTH,,,,,,
2566645,02331542',GRASS AMERICA INC,51-066023000,1,99038815,ARTICLE OF CHINA US NTE 20(R),FURNITURE PARTS,SACA PRECISION LTD,8/24/2026,8/23/2026,7/09/2026,Vessel Container,49912,CN,99030590,99038209,8302423015,,,,,ARTS ALU STL COP DER ALU  DER,COP  DER ALU & STL  NT16(C)(VI,DRWRSLIDES FR FURN IR/ST/AL/ZN,,,,
2566645,02331542',GRASS AMERICA INC,51-066023000,2,99038815,ARTICLE OF CHINA US NTE 20(R),PLASTIC FURNITURE PARTS,SACA PRECISION LTD,8/24/2026,8/23/2026,7/09/2026,Vessel Container,8243.2,CN,99030531,3926305000,,,,,,PRDTS OF CHINA  NOTE 52,PLAST FITTINGS OTHER,,,,,
2566808,02334165',MALLAGHAN (GA) INC.,36-488102800,1,99030581,PRDTS OF GB  NTE 52,CATERING TRUCK CABIN ASSEMBLY PART,MALLAGHAN ENGINEERING  LTD,8/24/2026,8/24/2026,7/20/2026,Vessel Container,27783.95,GB,99038201,8431200000,,,,,,DOES NOT CONTAIN ANY ALU  STL,MACH PARTS UNDER 8427,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,1,99030590,ARTS ALU STL COP DER ALU  DER,FORGE BOTTLE OPENERS,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,2324.16,IN,99038209,7323999080,,,,,,COP  DER ALU & STL  NT16(C)(VI,HSEHLD ART.N/COATED N/FOOD CNT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,9,99030590,ARTS ALU STL COP DER ALU  DER,FORGE BRASS SPOON RESTS,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,5775,IN,99038209,7323999080,,,,,,COP  DER ALU & STL  NT16(C)(VI,HSEHLD ART.N/COATED N/FOOD CNT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,10,99030590,ARTS ALU STL COP DER ALU  DER,FORGE BRASS MINI TRIVETS,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,3425.4,IN,99038209,7323999080,,,,,,COP  DER ALU & STL  NT16(C)(VI,HSEHLD ART.N/COATED N/FOOD CNT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,2,99030544,PRDTS OF INDIA  NTE 52,MINI COCKTAIL SHAKER,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,638.4,IN,7020006000,,,,,,,ARTICLES OF GLASS  OTHER,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,4,99030590,ARTS ALU STL COP DER ALU  DER,FORGE BRASS SALAD SERVERS,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,3866.88,IN,99038209,7323999080,,,,,,COP  DER ALU & STL  NT16(C)(VI,HSEHLD ART.N/COATED N/FOOD CNT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,3,99030590,ARTS ALU STL COP DER ALU  DER,FOOTED TAPER HOLDER SET,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,1797.12,IN,99038209,7615103025,,,,,,COP  DER ALU & STL  NT16(C)(VI,ALUM COOK/KITWARE ENAML OTH/OT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,13,99030590,ARTS ALU STL COP DER ALU  DER,PEBBLED SNACK BOWL,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,2442.24,IN,99038209,7615103025,,,,,,COP  DER ALU & STL  NT16(C)(VI,ALUM COOK/KITWARE ENAML OTH/OT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,24,99030590,ARTS ALU STL COP DER ALU  DER,PEBBLED SNACK BOWL,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,3968.64,IN,99038209,7615103025,,,,,,COP  DER ALU & STL  NT16(C)(VI,ALUM COOK/KITWARE ENAML OTH/OT,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,5,99030590,ARTS ALU STL COP DER ALU  DER,FORGED BRASS SPREADER KNIVES,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,2890.8,IN,99038202,7326901000,,,,,,ALU  STL  COP DER ALU  DER STL,TINPLATE ART. IRON/STEEL,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,8,99030590,ARTS ALU STL COP DER ALU  DER,FORGED BRASS COFFEE SCOOPS,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,2131.2,IN,99038202,7326901000,,,,,,ALU  STL  COP DER ALU  DER STL,TINPLATE ART. IRON/STEEL,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,6,99030544,PRDTS OF INDIA  NTE 52,PEBBLED LARGE CARAFE,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,1708,IN,7013998090,,,,,,,OTH GLSWR O/$3 & N/OVR $5 OTHR,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,7,99030544,PRDTS OF INDIA  NTE 52,PEBBLED SMALL CARAFE,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,2649.6,IN,7013999090,,,,,,,OTHER GLSWR  O/$5 EACH  OTHER,,,,,,
2566621,02334223',COVE HOME LLC,30-136116600,11,99030544,PRDTS OF INDIA  NTE 52,APERITIF BOWL SMALL,KISHORIJI EXIM PVT LTD,8/24/2026,8/23/2026,7/17/2026,Vessel Container,998.4,IN,6802910500,,,,,,,STONE MRBLE SLABS WRK NOT,,,,,,
